Neg Utility,Stock Loss,Clearing Loss,Type
tensor(0.2103),tensor(3.9942e-06),tensor(0.0005),Mu Unknown
tensor(2.1605),tensor(1.1369e-15),tensor(6.4408e-08),Frictionless
