Neg Utility,Stock Loss,Clearing Loss,Type
0.05955514311790466,6.421990747185191e-06,7.704865129198879e-05,Mu Unknown
0.05776968598365784,2.819027577061206e-05,0.01010077353566885,Mu Known
0.09057614207267761,2.2737368624290214e-16,1.438979069234847e-08,Leading Order
